,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"05/05/2025","POD-250649","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","11/05/2025",10,0,10,100.00,100.00
,"05/05/2025","POD-250650","FireFly Automatix, Inc.","Neousys Technology Incorp.","Cbl-M12S4F-OW4-180CM1  Cable 180cm, M12 S-Code Female 4P to Open Wire 4P","12/03/2025",10,0,10,100.00,100.00
"Total Cbl-M12S4F-OW4-180CM1",,,,,,,40,0,40,400.00,400.00
"Cbl-M12X8M-RJ45-CAT6A-500CM",,,,,,,,,,,
,"09/01/2025","POD-251251","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","Cbl-M12X8M-RJ45-CAT6A-500CM  M12( 8-pole-X-coded) to RJ45, CAT6A, Length : 500CM. Industrial com...","09/17/2025",8,0,8,256.00,256.00
"Total Cbl-M12X8M-RJ45-CAT6A-500CM",,,,,,,8,0,8,256.00,256.00
"Cbl-MHF4-RP_SMAF-15CM",,,,,,,,,,,
,"09/17/2025","POD-251333","The Alliance","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-15CM  Wifi Internal Cable, IPEX MHF4(Female) to RP SMA(Female), for M.2 module,...","10/01/2025",20,0,20,60.00,60.00
"Total Cbl-MHF4-RP_SMAF-15CM",,,,,,,20,0,20,60.00,60.00
"Cbl-MHF4-RP_SMAF-30CM",,,,,,,,,,,
,"08/08/2025","POD-251140","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","10/01/2025",2,0,2,6.00,6.00
,"08/15/2025","POD-251164","Dexterity, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","10/01/2025",2,0,2,6.00,6.00
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/10/2025",40,0,40,120.00,120.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",40,0,40,120.00,120.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",40,0,40,120.00,120.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/24/2025",40,0,40,120.00,120.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/17/2025",50,0,50,150.00,150.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-RP_SMAF-30CM  WiFi internal cable, I-PEX MHF4(F) to RP SMA (F) for M.2 module, length 3...","09/24/2025",40,0,40,120.00,120.00
"Total Cbl-MHF4-RP_SMAF-30CM",,,,,,,254,0,254,762.00,762.00
"Cbl-MHF4-SMAF-30CM",,,,,,,,,,,
,"08/19/2025","POD-251179","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/10/2025",60,0,60,180.00,180.00
,"08/19/2025","POD-251180","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",60,0,60,180.00,180.00
,"08/19/2025","POD-251181","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",60,0,60,180.00,180.00
,"08/19/2025","POD-251182","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/24/2025",60,0,60,180.00,180.00
,"08/19/2025","POD-251183","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/17/2025",75,0,75,225.00,225.00
,"08/19/2025","POD-251184","Uber Technologies, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-30CM  LTE Internal Cable, IPEX MHF4(Female) to SMA(Female) for M.2 module, length ...","09/24/2025",60,0,60,180.00,180.00
"Total Cbl-MHF4-SMAF-30CM",,,,,,,375,0,375,1125.00,1125.00
"Cbl-MHF4-SMAF-WP-40CM",,,,,,,,,,,
