,"Type","Date","Ship Date","Deliv Date","Terms","Due Date","Num","P. O. #","Name","Qty","Invoiced","Backordered","Amount","Item","Rep","Open Balance","Inventory Site"
"Inventory",,,,,,,,,,,,,,,,,
"Accessory",,,,,,,,,,,,,,,,,
,"Sales Order","08/28/2025","09/19/2025",,"Prepay","08/28/2025","SO-20251230","250828A","Ball Horticultural Company",4,0,4,28.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A689",28.00,"WH01S-NTA"
,"Sales Order","08/28/2025","09/19/2025",,"Prepay","08/28/2025","SO-20251230","250828A","Ball Horticultural Company",2,0,2,14.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A689",14.00,"WH01S-NTA"
,"Sales Order","08/28/2025","10/21/2025",,"Net 30","09/27/2025","SO-20251229","CYNGN-1275","CYNGN INC.",8,0,8,48.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",48.00,"WH01S-NTA"
,"Sales Order","09/04/2025","10/24/2025",,"Net 30","10/04/2025","SO-20251253","PO4056","Seafloor Systems, Inc.",16,0,16,96.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",96.00,"WH01S-NTA"
,"Sales Order","09/08/2025","12/31/2025",,"Prepay","09/08/2025","SO-20251269","8014.07-01","ASI Technology, Inc.",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A777",12.00,"WH01S-NTA"
,"Sales Order","09/10/2025","12/31/2025",,"Net 30","10/10/2025","SO-20251290","PO-12074","Advanced Technology Systems Company",2,0,2,12.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",12.00,"WH01S-NTA"
,"Sales Order","09/11/2025","10/03/2025",,"Prepay","09/11/2025","SO-20251298","N091125","Ball Horticultural Company",6,0,6,48.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A689",48.00,"WH01S-NTA"
,"Sales Order","09/12/2025","12/31/2025",,"Prepay","09/12/2025","SO-20251306","PO-036318","ADVANCED TECH & RESEARCH",6,0,6,42.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A777",42.00,"WH01S-NTA"
,"Sales Order","09/16/2025","09/24/2025",,"Net 60","11/15/2025","SO-20251310","615125","Uber Technologies, Inc.",10,0,10,70.00,"Accessory:Ant-RP_SMAM-WiFi-196MM1","A800",70.00,"WH01S-NTA"
"Total Ant-RP_SMAM-WiFi-196MM1",,,,,,,,,,378,0,378,2306.00,,,2306.00,
"Ant-SMAM-LTE",,,,,,,,,,,,,,,,,
,"Sales Order","08/18/2025","10/08/2025",,"Net 60","10/17/2025","SO-20251169","612452","Uber Technologies, Inc.",40,0,40,280.00,"Accessory:Ant-SMAM-LTE","A800",280.00,"WH01S-NTA"
,"Sales Order","08/19/2025","10/17/2025",,"Net 60","10/18/2025","SO-20251175","612452","Uber Technologies, Inc.",40,0,40,280.00,"Accessory:Ant-SMAM-LTE","A800",280.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251176","612452","Uber Technologies, Inc.",40,0,40,280.00,"Accessory:Ant-SMAM-LTE","A800",280.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251177","612452","Uber Technologies, Inc.",40,0,40,280.00,"Accessory:Ant-SMAM-LTE","A800",280.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251179","612452","Uber Technologies, Inc.",40,0,40,280.00,"Accessory:Ant-SMAM-LTE","A800",280.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251178","612452","Uber Technologies, Inc.",50,0,50,350.00,"Accessory:Ant-SMAM-LTE","A800",350.00,"WH01S-NTA"
,"Sales Order","09/16/2025","09/24/2025",,"Net 60","11/15/2025","SO-20251310","615125","Uber Technologies, Inc.",10,0,10,70.00,"Accessory:Ant-SMAM-LTE","A800",70.00,"WH01S-NTA"
"Total Ant-SMAM-LTE",,,,,,,,,,260,0,260,1820.00,,,1820.00,
"Cbl-DB9F-3DB9M-15CM2",,,,,,,,,,,,,,,,,
,"Sales Order","07/22/2025","09/24/2025",,"Net 30","08/21/2025","SO-20251029","16134","Automated Environments",25,0,25,444.00,"Accessory:Cbl-DB9F-3DB9M-15CM2","A689",444.00,"WH01S-NTA"
,"Sales Order","07/22/2025","11/21/2025",,"Net 30","08/21/2025","SO-20251030","16134","Automated Environments",25,0,25,444.00,"Accessory:Cbl-DB9F-3DB9M-15CM2","A689",444.00,"WH01S-NTA"
,"Sales Order","07/22/2025","01/30/2026",,"Net 30","08/21/2025","SO-20251031","16134","Automated Environments",25,0,25,444.00,"Accessory:Cbl-DB9F-3DB9M-15CM2","A689",444.00,"WH01S-NTA"
,"Sales Order","07/22/2025","02/27/2026",,"Net 30","08/21/2025","SO-20251032","16134","Automated Environments",25,0,25,444.00,"Accessory:Cbl-DB9F-3DB9M-15CM2","A689",444.00,"WH01S-NTA"
,"Sales Order","09/05/2025","09/18/2025",,"Net 30","10/05/2025","SO-20251264","P96646","CoastIPC, Inc.",15,0,15,180.00,"Accessory:Cbl-DB9F-3DB9M-15CM2","A689C",180.00,"Drop Ship"
"Total Cbl-DB9F-3DB9M-15CM2",,,,,,,,,,115,0,115,1956.00,,,1956.00,
"Cbl-IDC085F-DB9M-30CM",,,,,,,,,,,,,,,,,
,"Sales Order","08/01/2025","10/01/2025",,"Prepay","08/01/2025","SO-20251095","PO5343","Dexterity, Inc.",4,0,4,20.00,"Accessory:Cbl-IDC085F-DB9M-30CM","A800",20.00,"WH01S-NTA"
,"Sales Order","08/15/2025","12/31/2025",,"Prepay","08/15/2025","SO-20251167","PO5382","Dexterity, Inc.",4,0,4,20.00,"Accessory:Cbl-IDC085F-DB9M-30CM","A800",20.00,"WH01S-NTA"
"Total Cbl-IDC085F-DB9M-30CM",,,,,,,,,,8,0,8,40.00,,,40.00,
"Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,,,,,,,,,,,
,"Sales Order","08/18/2025","10/08/2025",,"Net 60","10/17/2025","SO-20251169","612452","Uber Technologies, Inc.",20,0,20,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",300.00,"WH01S-NTA"
,"Sales Order","08/19/2025","10/17/2025",,"Net 60","10/18/2025","SO-20251175","612452","Uber Technologies, Inc.",20,0,20,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",300.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251176","612452","Uber Technologies, Inc.",20,0,20,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",300.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251177","612452","Uber Technologies, Inc.",20,0,20,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",300.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251179","612452","Uber Technologies, Inc.",20,0,20,300.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",300.00,"WH01S-NTA"
,"Sales Order","08/19/2025","12/31/2025",,"Net 60","10/18/2025","SO-20251178","612452","Uber Technologies, Inc.",25,0,25,375.00,"Accessory:Cbl-M12A5F-OT2-B-Red-Fuse-100CM","A800",375.00,"WH01S-NTA"
"Total Cbl-M12A5F-OT2-B-Red-Fuse-100CM",,,,,,,,,,125,0,125,1875.00,,,1875.00,
"Cbl-M12A8M-2U2TA-180CM2",,,,,,,,,,,,,,,,,
,"Sales Order","06/25/2025","08/06/2025",,"Prepay","06/25/2025","SO-20250911","QTD_Rotor_250623","Rotor Technologies, Inc.",3,0,3,42.00,"Accessory:Cbl-M12A8M-2U2TA-180CM2","A702",42.00,"WH01S-NTA"
,"Sales Order","08/28/2025","10/21/2025",,"Prepay","08/28/2025","SO-20251236"," QTD_USACE_2507093","US Army Corps of Engineers, ERDC-IEI",4,0,4,56.00,"Accessory:Cbl-M12A8M-2U2TA-180CM2","A689",56.00,"WH01S-NTA"
,"Sales Order","09/03/2025","12/31/2025",,"Net 30","10/03/2025","SO-20251249","P96746","CoastIPC, Inc.",13,0,13,169.00,"Accessory:Cbl-M12A8M-2U2TA-180CM2","A689C",169.00,"Drop Ship"
"Total Cbl-M12A8M-2U2TA-180CM2",,,,,,,,,,20,0,20,267.00,,,267.00,
"Cbl-M12A8M-DB9F-180CM",,,,,,,,,,,,,,,,,
,"Sales Order","08/12/2025","10/15/2025",,"Prepay","08/12/2025","SO-20251145","7274","Near Earth Autonomy",1,0,1,24.00,"Accessory:Cbl-M12A8M-DB9F-180CM","A702",24.00,"WH01S-NTA"
,"Sales Order","08/19/2025","11/07/2025",,"Prepay","08/19/2025","SO-20251174","7291","Near Earth Autonomy",2,0,2,48.00,"Accessory:Cbl-M12A8M-DB9F-180CM","A702",48.00,"WH01S-NTA"
"Total Cbl-M12A8M-DB9F-180CM",,,,,,,,,,3,0,3,72.00,,,72.00,
"Cbl-M12A8M-DB9M-180CM",,,,,,,,,,,,,,,,,
,"Sales Order","08/12/2025","10/15/2025",,"Prepay","08/12/2025","SO-20251145","7274","Near Earth Autonomy",2,0,2,48.00,"Accessory:Cbl-M12A8M-DB9M-180CM","A702",48.00,"WH01S-NTA"
,"Sales Order","08/19/2025","11/07/2025",,"Prepay","08/19/2025","SO-20251174","7291","Near Earth Autonomy",4,0,4,96.00,"Accessory:Cbl-M12A8M-DB9M-180CM","A702",96.00,"WH01S-NTA"
"Total Cbl-M12A8M-DB9M-180CM",,,,,,,,,,6,0,6,144.00,,,144.00,
"Cbl-M12L5F-CordEnd5-180CM",,,,,,,,,,,,,,,,,
,"Sales Order","08/28/2025","10/21/2025",,"Prepay","08/28/2025","SO-20251236"," QTD_USACE_2507093","US Army Corps of Engineers, ERDC-IEI",4,0,4,76.00,"Accessory:Cbl-M12L5F-CordEnd5-180CM","A689",76.00,"WH01S-NTA"
,"Sales Order","09/03/2025","12/31/2025",,"Net 30","10/03/2025","SO-20251249","P96746","CoastIPC, Inc.",13,0,13,169.00,"Accessory:Cbl-M12L5F-CordEnd5-180CM","A689C",169.00,"Drop Ship"
"Total Cbl-M12L5F-CordEnd5-180CM",,,,,,,,,,17,0,17,245.00,,,245.00,
"Cbl-M12S4F-OW4-180CM1",,,,,,,,,,,,,,,,,
,"Sales Order","05/02/2025","10/03/2025",,"Net 30","06/01/2025","SO-20250638","PO064732","FireFly Automatix, Inc.",10,0,10,200.00,"Accessory:Cbl-M12S4F-OW4-180CM1","A800",200.00,"WH01S-NTA"
,"Sales Order","05/02/2025","11/13/2025",,"Net 30","06/01/2025","SO-20250639","PO064732","FireFly Automatix, Inc.",10,0,10,200.00,"Accessory:Cbl-M12S4F-OW4-180CM1","A800",200.00,"WH01S-NTA"
,"Sales Order","05/02/2025","12/12/2025",,"Net 30","06/01/2025","SO-20250640","PO064732","FireFly Automatix, Inc.",10,0,10,200.00,"Accessory:Cbl-M12S4F-OW4-180CM1","A800",200.00,"WH01S-NTA"
,"Sales Order","05/02/2025","01/13/2026",,"Net 30","06/01/2025","SO-20250641","PO064732","FireFly Automatix, Inc.",10,0,10,200.00,"Accessory:Cbl-M12S4F-OW4-180CM1","A800",200.00,"WH01S-NTA"
,"Sales Order","05/02/2025","02/13/2026",,"Net 30","06/01/2025","SO-20250642","PO064732","FireFly Automatix, Inc.",10,0,10,200.00,"Accessory:Cbl-M12S4F-OW4-180CM1","A800",200.00,"WH01S-NTA"
